2022-05-15 12:05:468 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:614 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:215 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:107 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:449 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:577 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:517 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 15:05:577 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:980 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:552 INFO  ComputerPage :36 - Verifying text message : [[ChromeDriver: chrome on WINDOWS (0e7803768e3df4f80992b0d015be24b3)] -> xpath: //h1[normalize-space()='Computers']]
2022-05-15 16:05:751 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:07 INFO  ComputerPage :36 - Verifying text message : [[ChromeDriver: chrome on WINDOWS (e12ffd59154c963759abcf2c25fbb954)] -> xpath: //h1[normalize-space()='Computers']]
2022-05-15 16:05:363 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:187 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:485 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:860 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:970 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:880 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:533 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:296 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:547 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:996 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (68624ea2e196b24fdf8d39b138950835)] -> link text: Log in]
2022-05-16 08:05:29 INFO  LoginPage :38 - Getting text from : [[ChromeDriver: chrome on WINDOWS (68624ea2e196b24fdf8d39b138950835)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 08:05:876 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:506 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (74aa3c0180cad1d80b74f9732cac6a3f)] -> link text: Log in]
2022-05-16 08:05:589 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (74aa3c0180cad1d80b74f9732cac6a3f)] -> id: Email]
2022-05-16 08:05:656 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (74aa3c0180cad1d80b74f9732cac6a3f)] -> name: Password]
2022-05-16 08:05:73 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (74aa3c0180cad1d80b74f9732cac6a3f)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:90 INFO  LoginPage :58 - Getting text from : [[ChromeDriver: chrome on WINDOWS (74aa3c0180cad1d80b74f9732cac6a3f)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 08:05:934 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:302 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (50599d0bd2bde8c584c316e2f28e90de)] -> link text: Log in]
2022-05-16 08:05:374 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (50599d0bd2bde8c584c316e2f28e90de)] -> id: Email]
2022-05-16 08:05:450 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (50599d0bd2bde8c584c316e2f28e90de)] -> name: Password]
2022-05-16 08:05:894 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (50599d0bd2bde8c584c316e2f28e90de)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:764 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:945 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (39497c0869d3643a1baacf76a2c1ab4a)] -> link text: Log in]
2022-05-16 08:05:07 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (39497c0869d3643a1baacf76a2c1ab4a)] -> id: Email]
2022-05-16 08:05:63 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (39497c0869d3643a1baacf76a2c1ab4a)] -> name: Password]
2022-05-16 08:05:592 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (39497c0869d3643a1baacf76a2c1ab4a)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:414 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:30 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3238cc17f910303408b218852aaa6b88)] -> link text: Log in]
2022-05-16 08:05:102 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (3238cc17f910303408b218852aaa6b88)] -> id: Email]
2022-05-16 08:05:159 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (3238cc17f910303408b218852aaa6b88)] -> name: Password]
2022-05-16 08:05:617 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (3238cc17f910303408b218852aaa6b88)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:445 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:362 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (428eac1fe52bbcec3b035e7ba50dd313)] -> link text: Log in]
2022-05-16 08:05:460 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (428eac1fe52bbcec3b035e7ba50dd313)] -> id: Email]
2022-05-16 08:05:524 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (428eac1fe52bbcec3b035e7ba50dd313)] -> name: Password]
2022-05-16 08:05:916 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (428eac1fe52bbcec3b035e7ba50dd313)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:591 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:859 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f7c2e5823cd77f9101c8890034180a19)] -> link text: Log in]
2022-05-16 08:05:892 INFO  LoginPage :38 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f7c2e5823cd77f9101c8890034180a19)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 08:05:757 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:908 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7c50875d7dd5d9ffdd5b7df09767e138)] -> link text: Log in]
2022-05-16 08:05:981 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (7c50875d7dd5d9ffdd5b7df09767e138)] -> id: Email]
2022-05-16 08:05:37 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (7c50875d7dd5d9ffdd5b7df09767e138)] -> name: Password]
2022-05-16 08:05:498 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (7c50875d7dd5d9ffdd5b7df09767e138)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:516 INFO  LoginPage :58 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7c50875d7dd5d9ffdd5b7df09767e138)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 08:05:373 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:388 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (98cea2610bb16bda3f54621b443107cf)] -> link text: Log in]
2022-05-16 08:05:455 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (98cea2610bb16bda3f54621b443107cf)] -> id: Email]
2022-05-16 08:05:522 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (98cea2610bb16bda3f54621b443107cf)] -> name: Password]
2022-05-16 08:05:01 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (98cea2610bb16bda3f54621b443107cf)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:889 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:228 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (606bccb608374188117ded87fb86ac0d)] -> link text: Log in]
2022-05-16 08:05:291 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (606bccb608374188117ded87fb86ac0d)] -> id: Email]
2022-05-16 08:05:344 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (606bccb608374188117ded87fb86ac0d)] -> name: Password]
2022-05-16 08:05:830 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (606bccb608374188117ded87fb86ac0d)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:631 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 08:05:640 INFO  HomePage :76 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d204c100c5301ca65d954d0f95dd9ae8)] -> link text: Log in]
2022-05-16 08:05:711 INFO  LoginPage :44 - Sending text to : [[ChromeDriver: chrome on WINDOWS (d204c100c5301ca65d954d0f95dd9ae8)] -> id: Email]
2022-05-16 08:05:780 INFO  LoginPage :49 - Sending text to : [[ChromeDriver: chrome on WINDOWS (d204c100c5301ca65d954d0f95dd9ae8)] -> name: Password]
2022-05-16 08:05:430 INFO  LoginPage :54 - Clicking on  : [[ChromeDriver: chrome on WINDOWS (d204c100c5301ca65d954d0f95dd9ae8)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 08:05:243 INFO  ManageDriver :29 - Launching Chrome Browser
